G000296235	2	1224	28211	356	772	773	111504
G000331635	2	1224	28211	356	118882	234	29461
G000340945	2	201174	1760	85012	83676	2013	61305
G000341585	2	1117	0	1890424	2303730	1222	1223
G000390045	2	1239	91061	1385	90964	1279	283734
G000411595	2	1239	91061	1385	186822	44249	78058
G000416445	2	1224	28216	80840	119060	1822464	252970
G000421085	2	1224	28211	356	82115	106591	936134
G000438515	2	1239	91061	186826	81852	1350	71452
G000502035	2	203691	203692	136	1643685	64895	139
G000719825	2	201174	1760	85011	2062	1883	1463853
G000720375	2	201174	1760	85007	85025	1827	38312
G000724175	2	1090	191410	191411	1868322	0	1519464
G000735795	2	201174	1760	85007	1762	1763	1773
G000743035	2	1224	28211	1921002	2100208	2100211	244581
G000785145	2	1224	1236	72273	135617	90372	1003181
G000818655	2	1224	28216	80840	119060	32008	870478
G000878385	2	1224	28211	356	119045	407	31998
G000980215	2	1239	91061	186826	186828	2747	1637504
G001175545	2	1239	91061	186826	1300	1301	1336
G001311765	2	1239	91061	186826	33958	1578	420645
G001314785	2	1224	28211	356	2137278	0	1653334
G001404395	2	976	200643	171549	2005525	375288	823
G001475495	2	201174	1760	85007	1762	1866885	1766
G001476225	2	1224	28211	356	119045	407	31998
G001484705	2	201174	1760	85011	2062	1883	1751294
G001486905	2	1224	29547	213849	72294	194	196
G001508125	2	200918	188708	2419	188709	2335	93930
G001509385	2	200918	188708	1643947	1643949	28236	69499
G001525555	2	1224	28216	80840	506	517	520
G001564055	2	976	0	1100069	563843	0	1729468
G001570385	2	201174	1760	85012	2004	1995	1996
G001584035	2	1239	91061	1385	186817	1386	1890302
G001618615	2	1729712	2152896	2152897	2152899	2152900	1729713
G001618625	2	1729712	2152896	2152897	2152899	2152900	1729713
G001626545	2	1224	28211	204457	335929	1041	1811538
G001634345	2	1224	1236	135624	84642	642	654
G001657385	2	1224	28211	255473	255474	208215	1852618
G001672095	2	1117	0	1161	1892259	1175	1176
G001690305	2	1224	1236	1240482	1240483	1193503	1196095
G001723875	2	1224	1236	1240482	1240483	1193503	1196095
G001724135	2	1224	28216	80840	80864	283	1660095
G001725415	2	201174	1760	85010	2070	1847	1660132
G001768075	2	1224	28221	29	1524215	161492	1797238
G001807845	2	1224	1236	91347	1903414	583	1581079
G001812935	2	201174	1760	85009	31957	1743	1739386
G001871525	2	1224	2008785	119069	206349	0	1805218
G001896795	2	201174	1760	85012	2012	2019	1916083
G001897825	2	976	768503	768507	1501348	281119	1895716
G001898175	2	201174	1760	85006	85016	1707	1895740
G001898415	2	1224	1236	135614	1775411	75309	1895822
G001914155	2	1224	1236	91347	1903411	613	615
G001938545	2	1224	1236	135622	267893	135575	1929465
G002011835	2	1224	28221	453227	453228	0	1935134
G002050235	2	1224	28221	29	49	0	1961108
G002067585	2	1224	28221	213462	513556	513557	1811699
G002067975	2	1224	28221	213462	513556	513557	1811704
G002117205	2	1224	1236	135623	641	662	672
G002135175	2	544448	31969	186328	2131	2132	1963034
G002162925	2	1224	1236	135622	267889	1518149	1856287
G002163065	2	1224	29547	213849	72294	0	1856277
G002163155	2	1224	1553900	2024979	1652132	1652133	97084
G002168145	2	74201	203494	48461	203557	518755	1986590
G002184635	2	1224	1236	91347	1903414	583	584
G002211645	2	32066	203490	203491	203492	848	851
G002215425	2	544448	31969	2085	2092	2093	1318617
G002216665	2	1224	28211	356	82115	28105	1449788
G002238415	2	1224	28221	213113	117942	0	1919258
G002238585	2	1224	1236	135619	2066474	1036132	1919249
G002255225	2	1224	1236	135613	255526	109262	1970383
G002281795	2	1224	28216	80840	80864	12916	1970307
G002289125	2	1224	28216	206351	481	482	485
G002292925	2	200795	32061	32064	1508635	0	1953071
G002293055	2	201174	1760	85006	85023	0	1952254
G002293665	2	976	200643	171549	171550	239759	1946014
G002295955	2	1224	1553900	2024979	263369	0	1961500
G002296745	2	1239	186801	186802	424536	270497	1946303
G002297645	2	1224	1236	135614	1775411	0	1953068
G002297745	2	1224	1236	135622	267888	53246	152297
G002298755	2	201174	84992	84993	1798913	41949	1946201
G002299865	2	1224	28221	213115	224380	0	1961560
G002306945	2	74201	1955630	717963	717964	0	1952216
G002307795	2	1239	91061	186826	81852	1350	1351
G002308775	2	1239	186801	186802	2304686	1637257	1946783
G002313265	2	1224	1236	1706369	1706371	0	1951541
G002314325	2	1239	909932	909929	1843491	158846	158847
G002314675	2	65842	204430	218872	204431	832	1946528
G002316965	2	1239	91061	186826	33958	1578	1600
G002316995	2	976	200643	171549	2005520	294702	1947250
G002319925	2	57723	533205	574975	574976	0	1951929
G002319965	2	1239	909932	1843489	31977	906	1946843
G002320395	2	1224	1236	135619	135620	187492	1947655
G002320935	2	976	117747	200666	84566	84567	1947057
G002322065	2	201174	1760	85006	145357	57495	1946405
G002322395	2	1224	580370	580371	580372	377315	1946831
G002322695	2	976	117747	200666	84566	28453	1947484
G002323245	2	1224	580370	580371	580372	377315	1946828
G002323995	2	74201	203494	48461	1647988	0	1951351
G002330965	2	201174	1760	85006	85021	267408	1946055
G002335425	2	67819	1077257	1077263	1077264	1077265	1946326
G002337185	2	1224	1236	0	1400857	0	1951616
G002337725	2	1224	1236	135619	224372	59753	64988
G002338655	2	976	768503	768507	200667	0	1951769
G002338985	2	1224	1236	91347	1903412	568	546367
G002339505	2	201174	1760	85007	1653	1716	1946393
G002340685	2	1224	1236	135619	135620	187492	1947662
G002341165	2	1224	1236	135622	267890	0	1953076
G002341815	2	1224	28216	32003	2008790	919	1947686
