Rank	Taxon	Count
order	1643683	1
order	1643684	2
order	1643686	5
order	1643687	1
order	1643822	17
order	1643946	3
order	1643947	6
order	1644055	35
order	1644060	29
order	1663425	1
order	1676649	1
order	1692040	1
order	1706369	46
order	1737405	31
order	1769716	1
order	1775403	9
order	1783344	1
order	1803398	5
order	1803511	5
order	1812916	1
order	1836787	1
order	1843488	12
order	1843489	25
order	1853223	4
order	1853229	44
order	1860137	1
order	1890424	140
order	1890443	2
order	1890505	2
order	1906150	1
order	1906152	1
order	1915414	4
order	1921002	7
order	1921567	1
order	1921782	1
order	1934945	1
order	1936988	9
order	1955042	1
order	1962852	2
order	1963360	10
family	31	4
family	39	4
family	49	5
family	126	25
family	137	42
family	170	27
family	403	19
family	433	46
family	444	81
family	468	110
family	481	28
family	506	31
family	543	62
family	641	66
family	712	53
family	772	60
family	775	29
family	809	80
family	815	54
family	868	5
family	942	47
family	972	10
family	1046	25
family	1106	5
family	1162	17
family	1182	3
family	1185	5
family	1213	54
family	1268	53
family	1300	65
family	1653	132
family	1762	62
family	2004	14
family	2012	7
family	2049	70
family	2062	127
family	2070	54
family	2092	6
family	2131	14
family	2146	20
family	2159	33
family	2178	1
family	2183	9
family	2194	22
family	2206	71
family	2232	20
family	2236	10
family	2259	37
family	2267	31
family	2272	15
family	2307	4
family	28056	23
family	28256	34
family	31953	42
family	31957	23
family	31977	25
family	31979	170
family	31984	2
family	31989	195
family	31993	11
family	32011	12
family	32033	50
family	33925	2
family	33958	258
family	34064	54
family	39782	8
family	41294	46
family	41295	42
family	41297	91
family	44746	3
family	45401	24
family	45404	7
family	46630	1
family	46659	2
family	49546	257
family	53434	7
family	64898	7
family	68298	9
family	69277	30
family	69657	20
family	72275	61
family	72276	26
family	72293	61
family	72294	37
family	74712	10
family	75682	30
family	75787	22
family	76892	24
family	80864	53
family	81850	92
family	81852	33
family	82115	60
family	83676	18
family	83763	11
family	83778	4
family	84107	15
family	84566	66
family	84642	11
family	84994	12
