genome	kingdom	phylum	class	order	family	genus	species
G000010125	2	1239	91061	1385	90964	1279	29385
G000010145	2	1239	91061	186826	33958	1578	1613
G000010165	2	1239	91061	1385	186822	55080	1393
G000010185	2	1239	1737404	1737405	1570339	150022	1260
G000010205	2	1224	28211	766	775	69474	784
G000010285	2	201174	1760	85006	1268	57493	72000
G000010305	2	142182	219685	219686	219687	173479	173480
G000010325	2	1224	29547	0	0	269258	387092
G000010345	2	1224	29547	0	0	265570	387093
G000010405	2	1224	1236	0	0	0	410330
G000010425	2	201174	1760	85004	31953	1678	1680
G000010505	2	976	200643	171549	171551	836	837
G000010525	2	1224	28211	356	335928	6	7
G000010565	2	1239	186801	186802	186807	191373	110500
G000010585	2	1239	91061	1385	90964	69965	69966
G000010605	2	201174	1760	85011	2062	1883	1911
G000010625	2	1117	0	1118	1890449	1125	1126
G000010645	2	976	200643	171549	0	511434	511435
G000010665	2	1224	28221	213115	194924	872	184917
G000010785	2	200783	187857	32069	64898	939	940
G000010825	2	1224	28211	204441	433	434	438
G000010985	2	200930	68337	191393	191394	53572	197162
G000011005	2157	28890	224756	570264	570265	570266	570267
G000011025	2	201174	1760	85006	1268	32207	43675
G000011065	2	976	200643	171549	815	816	818
G000011105	2157	28890	183968	2258	2259	2260	53953
G000011125	2157	28889	183924	114380	2272	56635	56636
G000011165	2	204428	204429	51291	809	810	83558
G000011185	2157	28890	183967	2301	46659	2302	50339
G000011205	2157	28889	183924	2281	118883	2284	111955
G000011225	2	544448	31969	2085	2092	2093	28227
G000011245	2	1239	91061	1385	186817	182709	182710
G000011305	2	201174	1760	85007	1653	1716	152794
G000011345	2	1117	0	1890424	1890426	146785	146786
G000011365	2	1224	28211	356	41294	374	1355477
G000011385	2	1117	307596	307595	1890422	33071	33072
G000011405	2	1224	1236	72273	34064	262	263
G000011465	2	1117	0	1890424	1213	1218	1219
G000011485	2	1117	0	1890424	1213	1218	1219
G000011545	2	1224	28216	80840	119060	32008	28450
G000011565	2	204428	204429	1963360	92713	282132	362787
G000011645	2	1239	91061	1385	186817	1386	1402
G000011685	2	1224	28211	204441	433	441	442
G000011705	2	1224	28216	80840	119060	32008	13373
G000011745	2	1224	1236	91347	543	203804	101534
G000011805	2	1224	1236	135623	641	511678	668
G000011905	2	200795	301297	1202465	1202464	61434	61435
G000011945	2	1224	28211	766	942	768	770
G000011965	2	1224	28211	204455	31989	97050	89184
G000011985	2	1239	91061	186826	33958	1578	1579
G000012005	2	1224	1236	91347	543	620	622
G000012065	2	203691	203692	136	1643685	138	140
G000012085	2	203691	203692	136	1643685	138	142
G000012145	2	1224	28211	766	775	780	42862
G000012225	2	544448	31969	186329	2146	33926	229545
G000012245	2	1224	1236	72274	135621	286	317
G000012285	2157	28889	183924	2281	118883	2284	2285
G000012305	2	1224	1236	72274	468	497	334543
G000012325	2	1224	1236	135622	267889	28228	28229
G000012345	2	1224	28211	54526	1655514	198251	198252
G000012385	2	1224	28211	766	775	780	33990
G000012405	2	201174	1760	85012	83676	83677	2021
G000012425	2	1224	28216	206389	75787	73029	259537
G000012465	2	1117	0	1890424	1213	1218	1219
G000012485	2	1090	191410	191411	191412	1099	1100
G000012505	2	1117	0	1890424	1890426	1129	316279
G000012525	2	1117	0	1890424	1890426	1129	32046
G000012545	2157	28890	183925	2158	2159	2316	2317
G000012565	2	1224	28211	766	942	943	944
G000012585	2	1090	191410	191411	191412	1091	337090
G000012605	2	1224	1236	72273	135616	933	39765
G000012645	2	1117	0	1890424	1213	1218	1219
G000012665	2	1224	28221	213115	194924	872	58180
G000012685	2	1224	28221	29	31	32	34
G000012725	2	1224	28211	356	41294	911	913
G000012745	2	1224	28216	119069	206349	919	36861
G000012805	2	1224	1236	135613	1046	1227	1229
G000012825	2	976	200643	171549	815	816	821
G000012845	2	976	200643	171549	171551	375288	823
G000012865	2	1239	186801	68295	186814	129957	129958
G000012885	2	1224	28221	69541	213421	18	19
G000012905	2	1224	28211	204455	31989	1060	1063
G000012925	2	1224	28221	69541	213422	28231	28232
G000012965	2	1224	29547	213849	72293	202746	39766
G000012985	2	1224	1236	135619	224379	158481	158327
G000013005	2	1224	28211	204457	335929	1041	39960
G000013025	2	1224	28211	204455	69657	85	81032
G000013045	2	976	0	1100069	563843	146918	146919
G000013085	2	1224	28211	204441	41295	1081	1085
G000013105	2	1239	186801	68295	186814	44260	1525
G000013125	2	1224	28211	766	942	768	948
G000013145	2	1224	28211	766	942	943	945
G000013165	2	1224	28211	766	942	33993	951
G000013185	2	1224	1236	0	0	0	186490
G000013205	2	1117	0	1890424	1890426	1129	321327
G000013225	2	1117	0	1890424	1890426	1129	321332
G000013285	2	1239	186801	186802	31979	1485	1502
G000013325	2	1224	28211	204457	41297	165696	48935
G000013345	2	201174	1760	85013	74712	1854	106370
G000013365	2	1224	28211	356	41294	1073	1076
G000013405	2	1224	28221	213462	213468	43773	316277
G000013445	2157	28890	224756	2191	196137	2202	2203
G000013565	2	1224	28211	204455	31989	188905	290400
G000013605	2	1224	28216	80840	80864	28065	192843
G000013625	2	1224	28216	80840	75682	29580	375286
G000013645	2	1224	28216	80840	119060	1822464	36873
G000013665	2	1224	1236	1706369	1706371	316625	86304
G000013705	2	1224	28216	206350	32011	404	405
G000013725	2157	28890	224756	94695	2206	2225	29291
G000013745	2	1224	28211	356	41294	1073	1076
G000013765	2	1224	1236	135622	267890	22	192073
G000013865	2	1224	28216	80840	80864	52972	296591
G000013885	2	1224	28211	356	41294	911	912
G000013945	2	203691	203692	0	170	171	174
G000013985	2	1224	28211	204457	41297	165697	117207
G000014005	2	57723	204432	204433	204434	658061	658062
G000014025	2	1224	29547	213849	72294	28196	28197
G000014045	2	1224	28211	204455	31989	2433	2434
G000014125	2	1239	186801	186802	31979	1485	1542
G000014145	2	976	768503	768507	89373	978	985
G000014185	2	201174	84995	84996	84997	42255	49319
G000014205	2	1239	91061	186826	1300	1301	1305
G000014225	2	1224	1236	135622	267888	53246	288
G000014245	2	1224	28211	356	69277	449972	266779
G000014265	2	1117	0	1150	1892252	1205	1206
G000014285	2	1224	28211	204441	433	364409	364410
G000014345	2	1224	28211	766	775	780	788
G000014385	2	1239	91061	186826	81850	46254	1247
G000014425	2	1239	91061	186826	33958	1578	1596
G000014445	2	1239	91061	186826	81850	1243	1245
G000014465	2	1239	91061	186826	33958	1578	1580
G000014505	2	1239	91061	186826	33958	1253	1255
G000014525	2	1239	91061	186826	33958	1578	1597
G000014565	2	201174	1760	85007	85025	1827	132919
G000014585	2	1117	0	1890424	1890426	1129	64471
G000014605	2	1224	1236	72273	34064	262	263
G000014705	2	1224	1236	135622	267890	22	56812
G000014725	2	1239	186801	186802	68298	862	863
G000014745	2	1224	28211	204455	69657	74317	74318
G000014765	2	1224	28216	32003	206379	914	916
G000014785	2	1224	1236	135613	72276	133193	351052
G000014805	2	1224	1236	135624	84642	642	644
G000014825	2	1224	28211	356	41294	1073	1076
G000014865	2	1224	28211	1191478	1191479	162171	1124597
G000014885	2	1224	1236	135622	267890	22	404011
G000014905	2	57723	332159	332160	332161	332162	332163
G000014925	2	201174	1760	85006	1268	1742992	43663
G000014945	2157	28890	224756	94695	143067	2222	2224
G000014965	2	1224	28221	213462	213465	29526	119484
G000015005	2	201174	1760	85007	1762	1763	1772
G000015025	2	201174	1760	1643683	85032	28048	28049
G000015045	2	1224	28221	69541	213421	18	29543
G000015105	2	1224	1236	0	0	1541743	386487
G000015125	2	1090	191410	191411	191412	1091	1096
G000015145	2157	28889	183924	114380	2307	54247	54248
G000015205	2157	28889	183924	2266	2267	2276	2277
G000015225	2157	28889	183924	2266	114378	2268	2269
G000015245	2	1224	1236	135622	267890	22	60478
G000015265	2	201174	1760	85009	85015	1839	196162
G000015285	2	1224	1236	135622	267894	67572	357794
G000015305	2	201174	1760	85007	1762	1763	110539
