genome	kingdom	phylum	class	order	family	genus	species
G000341065	2	201174	1760	85012	83676	2013	124252
G000341085	2	201174	1760	85012	83676	2013	239984
G000341105	2	201174	1760	85012	83676	2013	1246458
G000341125	2	201174	1760	85012	83676	2013	53441
G000341145	2	201174	1760	85012	83676	2013	124285
G000341165	2	201174	1760	85012	83676	2013	280236
G000341185	2	201174	1760	85012	83676	2013	280239
G000341205	2	201174	1760	85012	83676	2013	280240
G000341345	2	201174	1760	85007	1653	1716	225326
G000341355	2	1224	28211	356	772	773	388640
G000341385	2	1224	28211	356	772	773	33047
G000341395	2	1224	28221	213118	213121	53318	65555
G000341545	2	1293497	1293498	1293499	407032	35800	35801
G000341655	2	200795	301297	1202465	1202464	61434	61435
G000341695	2	200795	301297	1202465	1202464	61434	61435
G000341715	2157	28890	224756	94695	2206	2207	2209
G000341735	2	1224	1236	135618	403	39773	95641
G000341755	2	976	117743	200644	49546	237	926447
G000341795	2	201174	1760	85007	85025	1827	300028
G000341895	2	1224	28221	213115	194924	872	879567
G000342045	2	1224	28211	204441	41295	13134	1244869
G000342125	2	201174	1760	85011	2062	1883	35621
G000342165	2	1224	28211	204457	41297	1960290	1234595
G000342725	2	203691	203692	0	170	171	29507
G000344135	2	201174	1760	85007	85026	2053	410332
G000344155	2	201174	1760	85007	85026	2053	175628
G000344275	2	1239	91061	186826	1300	1301	1303
G000344615	2	1224	28216	80840	75682	29580	1075768
G000344725	2	1224	28211	356	118882	528	360313
G000344785	2	201174	1760	85007	1653	1716	1721
G000344805	2	1224	28211	356	41294	374	44255
G000346255	2	1239	91061	1385	186822	55080	1393
G000346295	2	203682	203683	112	126	265488	1265734
G000346315	2	203682	203683	112	126	265488	1263866
G000346425	2	203682	203683	112	126	265488	595460
G000346485	2	1117	0	1161	1182	1203	34078
G000346505	2	203682	203683	112	126	265488	1263869
G000346595	2	1224	28211	356	82115	34019	34021
G000346615	2	976	768503	768507	200667	1265689	1265690
G000347015	2	203691	203692	0	170	171	29507
G000347175	2	203691	203692	0	170	171	28452
G000347575	2	67818	0	0	0	1454725	1454753
G000347595	2	1224	1236	135625	712	476528	47735
G000347635	2	1224	1236	135622	72275	1621534	326544
G000347695	2	201174	1760	85004	31953	1678	33905
G000347775	2	1224	1236	135622	72275	2742	523742
G000347835	2	1239	91061	186826	1300	1301	1309
G000347915	2	1239	91061	186826	1300	1301	1341
G000348525	2	1224	1236	135625	712	292486	728
G000348685	2	976	117743	200644	49546	1868329	1137281
G000348725	2	1224	28221	213481	213483	958	453816
G000348785	2	201174	84992	84993	84994	682522	467094
G000348805	2	976	117743	200644	39782	34098	340044
G000348905	2	1239	91061	1385	186818	941338	394098
G000348925	2	976	768503	768507	200667	1133570	649507
G000348945	2	201174	1760	85006	1268	1742990	254787
G000349205	2	1224	1236	72273	135616	40222	999151
G000349325	2	201174	1760	85011	2062	1883	348043
G000349545	2	201174	1760	85006	85023	55968	1292023
G000349565	2	201174	1760	85006	85023	2034	2035
G000349585	2	201174	1760	85007	85029	37914	1292020
G000349725	2	1239	91061	186826	33958	1578	449659
G000349745	2	1224	1236	135619	28256	235572	91844
G000349845	2	1224	1236	72274	135621	286	43306
G000349945	2	1224	28216	206389	75787	12960	748247
G000349975	2	1224	29547	213849	72293	209	213
G000350105	2	1117	0	1161	1162	98443	1164990
G000350125	2	1117	0	1161	1162	98443	1164990
G000350145	2	201174	84992	84993	84994	682522	467093
G000350165	2	1239	186801	53433	972	2330	43595
G000350305	2157	28890	183967	2301	0	0	1054217
G000350485	2	1239	186801	186802	541000	1508657	29371
G000350525	2	201174	1760	85006	85023	55968	664638
G000350605	2	203691	203692	0	170	171	28182
G000353285	2	1117	0	1890424	1890438	47251	1184
G000353565	2	1239	91061	1385	186822	55080	45462
G000354175	2	1224	1236	135623	641	662	663
G000355675	2	1224	1236	135619	135620	187492	187493
G000355765	2	1224	28216	32003	206379	35798	1288494
G000355905	2	976	117743	200644	49546	83612	251
G000359605	2	1239	91061	1385	186817	74385	470864
G000363885	2157	28890	183939	2182	196117	196118	667126
G000364165	2	1239	186801	186802	31979	1485	97138
G000364225	2	1239	186801	186802	186806	1730	97253
G000364325	2	201174	84998	84999	1643824	1380	1381
G000364425	2	544448	31969	186329	2146	33926	35772
G000364605	2	201174	1760	85009	85015	1839	1283287
G000364625	2	1224	1236	72274	135621	286	157784
G000364745	2157	28889	183924	2281	118883	2284	43080
G000364865	2	201174	1760	2037	2049	1654	181487
G000365025	2	1224	28211	204455	69657	437506	437507
G000367205	2	201174	1760	85009	31957	1912216	33010
G000367345	2	1224	28211	204457	41297	165695	121428
G000367525	2	201174	1760	85006	85021	99479	101689
G000367925	2	1224	1236	72274	468	469	1435036
G000368025	2	1224	1236	72274	468	469	134533
G000368565	2	1224	1236	72274	468	469	202952
G000368585	2	1224	1236	72274	468	469	52133
G000368625	2	1224	1236	72274	468	469	108981
G000368825	2	1224	1236	72274	468	469	108980
G000368865	2	1224	1236	72274	468	469	202951
G000368905	2	1224	1236	72274	468	469	40216
G000368925	2	1224	1236	72274	468	469	106648
G000369005	2	1224	1236	72274	468	469	262668
G000369105	2	1224	1236	72274	468	469	28090
G000369145	2	1224	1236	72274	468	469	28090
G000371425	2	1239	526524	526525	128827	1505663	1522
G000371465	2	1239	186801	186802	31979	1485	179628
G000371705	2	1239	186801	186802	186803	1506553	208479
G000371785	2	201174	1760	622450	622451	1849	1850
G000371805	2157	28890	183939	2182	196117	196118	667126
G000371825	2	1224	28211	0	0	0	938631
G000371925	2	1224	1236	72273	135617	1030	125614
G000372025	2	201174	1760	0	0	0	932039
G000372065	2	1224	28216	80840	506	90243	90245
G000372085	2	201174	1760	85007	1653	1716	131081
G000372125	2	1224	580370	0	0	0	1131290
G000372165	2	200795	0	0	0	0	913328
G000372185	2	201174	1760	0	0	0	932044
G000372225	2	1293497	1293498	1293499	407032	35800	913337
G000372265	2	201174	1760	0	0	0	932038
G000372285	2	265317	0	0	0	0	857041
G000372385	2	201174	1760	85007	1653	1716	227319
G000372405	2	976	200643	171549	171551	836	322095
G000372425	2	1239	91061	186826	1300	1301	1345
G000372445	2	201174	1760	85007	1653	1716	487732
G000372465	2	201174	1760	85009	85015	182639	460086
G000372745	2	201174	1760	85011	2062	1883	159449
G000372825	2	1224	28211	356	119045	407	1101192
G000372845	2	1224	28211	356	31993	133	173366
G000372865	2	1224	1236	135618	403	160800	105972
G000372885	2	1224	28216	206389	75787	378210	1346290
G000372925	2	1224	1236	1706369	1706371	2425	2426
G000372965	2	1224	28211	356	69277	274591	1116369
G000373005	2	1224	28216	80840	119060	32008	667632
G000373045	2	32066	203490	203491	1129771	32067	157691
G000373105	2	976	1937959	1936988	1937960	70994	70998
G000373185	2	976	200643	171549	171552	838	185294
G000373205	2	1297	188787	68933	188786	65551	307124
G000373245	2	976	768503	768507	563798	390846	346377
G000373265	2	976	768503	768507	1853232	323449	336989
G000373345	2	32066	203490	203491	1129771	32067	157687
G000373365	2	201174	1760	85013	74712	1854	365528
G000373385	2	1224	28216	119069	206349	919	931
G000373485	2	1224	1236	1706369	1706375	503005	471499
G000373545	2	203691	203692	136	137	146	46356
G000373565	2	201174	1760	85011	2062	1883	1156844
G000373665	2	201174	1760	85011	2062	1883	1157637
G000373745	2	1224	28216	80840	506	90243	90244
G000373765	2	1224	1236	118969	444	445	45075
G000373785	2	1239	526524	526525	128827	1647	38402
G000373805	2	201174	1760	85007	1653	1716	35756
G000373885	2	1239	186801	186802	186803	572511	33035
G000373905	2	201174	1760	85007	1762	1763	1157943
G000373925	2	201174	1760	85009	85015	117156	533267
G000373945	2	1224	1236	135619	224379	305899	305900
G000373965	2	1224	28216	206389	75787	392735	392736
G000373985	2	1224	28221	213118	213119	2289	2290
G000374005	2	1224	28211	597358	597359	454159	454162
G000374025	2	976	768503	768507	89373	107	496058
G000374045	2	976	1853228	1853229	563835	460073	398037
G000374065	2	976	768503	768507	89373	107	431553
G000374085	2	976	768503	768507	89373	107	431554
G000374125	2	976	1853228	1853229	563835	379899	379900
G000374145	2	1224	28211	356	119045	356797	217219
G000374165	2	201174	1760	85013	74712	1854	222534
G000374305	2	201174	1760	85012	2012	1988	1120938
G000374325	2	1239	91061	186826	186828	192987	166939
G000374345	2	1239	91061	1385	186817	1386	1121084
G000374385	2	1239	91061	1385	186822	55080	1465
G000374405	2	976	117743	200644	49546	34084	103810
G000374445	2	201174	1760	85010	2070	39845	155975
G000374465	2	1224	28211	204455	31989	152180	76980
G000374485	2	1224	1236	135622	267888	296014	163869
G000374525	2	1224	28211	356	119043	580880	340680
G000374545	2	1239	909932	909929	1843490	81463	81464
G000374565	2	1239	91061	1385	186817	1386	254759
G000374585	2	976	200643	171549	815	816	376804
G000374625	2	1224	28216	80840	80864	28219	491919
G000374645	2	1224	1236	135613	72276	2368	2369
G000374805	2	1224	28216	206351	1499392	585890	553088
G000374825	2	1239	91061	1385	186822	44249	225906
G000374845	2	1239	91061	1385	186822	44249	369333
G000375345	2	1224	1236	0	0	582472	400946
G000375365	2	201174	1760	85007	1653	1716	161890
G000375405	2	976	200643	171549	815	816	392838
G000375425	2	1936987	1853221	1853223	1813606	649462	454600
G000375465	2	1936987	1853221	1853223	1813606	455358	287535
G000375485	2	1224	28221	213115	194924	872	63560
G000375545	2	1224	28211	362534	1331809	288021	288022
G000375645	2	976	200643	171549	171551	836	501496
G000375685	2157	28889	0	0	0	0	1130305
G000375725	2	201174	1760	85011	2062	1883	1157632
G000375745	2	1293497	1293498	1293499	407032	35800	1131270
G000375765	2	1293497	1293498	1293499	407032	35800	1131269
G000375825	2	62680	0	0	0	0	1131273
G000375865	2	1224	29547	0	0	265570	1218800
G000376105	2	1224	28211	204458	76892	76890	347481
G000376125	2	1224	28211	356	255475	293088	293089
G000376145	2	1239	91061	186826	33958	1578	1582
G000376165	2	1224	1236	0	0	0	1131275
G000376225	2	1239	91061	1385	186823	1502725	232270
G000376245	2	201174	1760	85006	1268	291967	291968
G000376265	2	1297	188787	68933	188786	270	88189
G000376385	2	1239	186801	186802	186807	510701	265470
G000376425	2	1224	28216	119069	206349	919	36861
G000376445	2157	28890	183963	2235	2236	367188	367189
G000376545	2	1224	28211	204455	31989	97050	379347
G000376565	2	201174	1760	85011	2062	1883	1306990
G000376585	2	1224	28211	766	942	953	77038
G000376645	2	1224	1236	135625	712	75984	75985
G000376665	2	1297	188787	68933	188786	65551	277
G000376785	2	1224	1236	135619	224379	158481	286420
G000376805	2	1224	28211	204455	69657	453849	453851
G000376825	2	201174	1760	85006	145357	63958	63959
G000376885	2	201174	1760	85004	31953	419014	356828
G000376945	2	1224	28216	206351	1499392	650341	356662
G000376965	2157	28890	183939	2182	2183	155862	2186
G000376985	2	1239	91061	186826	1300	1301	439219
G000377005	2	1239	91061	186826	1300	1301	229549
G000377505	2	1239	91061	1385	186822	44249	225917
G000377645	2	1224	28216	80840	0	32012	1158291
G000377705	2	1239	91061	1385	186817	427077	427078
G000377745	2	1224	1236	1706369	1706371	940550	396005
G000377765	2	1239	91061	1385	186817	74385	393087
G000377785	2	1224	1236	135613	72276	106633	545276
G000377885	2	1224	1236	135613	72276	106633	1158160
G000377985	2	1239	91061	1385	186821	2077	444463
G000378005	2	1239	186801	68295	227387	68335	108819
G000378025	2	1224	28211	356	335928	0	1168059
G000378045	2	1224	1236	135619	135620	48075	420402
G000378085	2	976	200643	171549	171552	838	840
G000378105	2	74201	203494	48461	1648490	361050	361055
G000378125	2	1224	1236	135614	1775411	886360	540746
G000378145	2	1239	91061	1385	186822	456492	459527
G000378165	2	1224	28211	204441	433	231052	231053
G000378185	2	1224	1236	135622	72275	288793	265425
G000378225	2	1224	28216	206350	32011	16	17
G000378245	2	1224	28216	206389	75787	12960	92003
G000378345	2	1224	28211	204455	69657	2723	1121961
G000378385	2	1239	91061	1385	186822	44249	135193
G000378405	2	1224	1236	135624	83763	83768	83769
G000378425	2	1239	91061	1385	186822	329857	380174
G000378465	2	1224	28211	204441	0	457933	457934
G000378485	2	976	117743	200644	49546	237	498301
G000378505	2	1224	1236	135619	28256	2745	453962
G000378625	2	1224	1236	135622	267889	28228	211668
G000378725	2	1239	1737404	1737405	1570339	162289	33031
G000378745	2	976	200643	171549	171552	838	419005
G000378765	2	976	117743	200644	49546	83612	197345
G000378865	2	201174	1760	0	0	0	938557
G000378885	2	201174	1760	0	0	0	932043
G000378905	2	201174	1760	0	0	0	932036
G000378925	2	201174	1760	0	0	0	932037
G000378965	2	1224	1236	135613	72276	106633	243063
G000379025	2	1239	186801	53433	53434	46468	46469
G000379125	2	1224	28211	356	31993	425	136993
G000379145	2	1224	28211	356	41294	374	29448
G000379165	2	1224	1236	1706369	1706371	2425	2426
G000379185	2	976	117743	200644	49546	1016	28189
G000379225	2	1224	580370	0	0	0	1131284
G000379345	2	1224	580370	0	0	0	1131287
G000379365	2	74201	203494	48461	203557	2735	1134055
G000379425	2	201174	1760	85007	1653	1716	541095
G000379445	2	1224	1236	72273	0	482136	270495
G000379465	2	201174	1760	85010	2070	596495	508770
G000379485	2	1224	28211	204455	31989	653686	390641
G000379505	2	1239	186801	186802	186807	36853	49338
G000379525	2	1224	1236	135613	1046	53452	61598
G000379605	2	1224	28211	356	82115	379	56731
G000379625	2	201174	1760	85010	2070	402649	402650
G000379645	2	201174	1760	85008	28056	1865	113565
G000379665	2	976	200643	171549	1853231	574697	544644
G000379685	2	201174	1760	85008	28056	1121253	129052
G000379705	2	201174	1760	85007	1653	1716	234828
G000379725	2	976	768503	768507	89373	978	29530
G000379765	2	976	768503	768507	200667	70992	70993
G000379805	2	976	1937959	1936988	1937960	70994	70995
G000379825	2	201174	1760	85008	28056	203522	203523
G000379845	2	1224	1236	72274	468	475	346665
G000379865	2	201174	1760	85007	1762	1763	46351
G000379885	2	201174	1760	85012	2004	83681	404386
G000379905	2	1224	1236	135625	712	1960084	758
G000379925	2	976	200643	171549	171551	836	28114
G000379945	2	976	200643	171549	171551	836	28115
G000379965	2	976	200643	171549	171552	838	425941
G000379985	2	1239	91061	186826	1300	1301	439220
G000380005	2	1239	91061	186826	1300	1301	102886
G000380025	2	1239	91061	186826	1300	1301	155680
G000380045	2	1239	91061	186826	1300	1301	269666
G000380065	2	1239	91061	186826	1300	1301	313439
G000380085	2	1239	91061	186826	1300	1301	400065
G000380105	2	1239	91061	186826	1300	1301	114652
G000380125	2	1239	91061	186826	1300	1301	82806
G000380165	2	201174	1760	85011	2062	1883	76728
G000380185	2	1224	1236	72273	135617	1030	125627
G000380225	2	1117	0	1150	0	0	1128427
G000380245	2	1239	91061	1385	186817	1386	1243664
G000380485	2	201174	1760	85007	85026	2053	1121721
G000380505	2	1224	28211	356	82115	166953	363259
G000380565	2	1224	1236	1706369	1706373	48073	266805
G000380645	2	201174	1760	85007	85025	613121	359359
G000380705	2157	28889	0	0	0	0	1052801
G000380725	2	1383058	0	0	0	0	1052808
G000380785	2	142187	0	0	0	0	1046982
G000380965	2	1239	91061	1385	186822	44249	431596
G000380985	2	976	200643	171549	171551	294702	294710
G000381005	2	1239	909932	909929	1843491	970	416586
G000381025	2	201174	1760	85011	2062	1883	47758
G000381065	2	1239	909932	909929	1843491	84034	86959
G000381085	2	1224	1236	72273	135616	933	131540
G000381125	2	1224	28216	80840	80864	196013	196015
G000381265	2	1224	28216	80840	80864	281915	86182
G000381345	2	1297	188787	118964	183710	1298	309886
G000381365	2	976	200643	171549	815	816	291644
G000381525	2	1239	186801	186802	186804	1257	1261
G000381545	2	976	768503	768507	89373	336827	336828
G000381585	2	57723	204432	204433	204434	0	1267533
G000381605	2	57723	204432	204433	204434	0	1267534
G000381625	2	57723	204432	204433	204434	0	1267535
G000381665	2	1224	1236	1706369	1706371	2425	2426
G000381725	2	32066	203490	203491	203492	848	854
G000381745	2	1224	1236	135622	267894	67572	444922
G000381765	2	201174	1760	85006	85023	255204	272240
G000381785	2	1224	1236	135619	135620	515417	452627
G000381825	2	1224	1236	135613	72276	106633	1158146
G000381885	2	201174	1760	85012	2012	1988	1990
G000381905	2	1239	91061	1385	186822	44249	379896
G000381925	2	201174	1760	85007	85025	1817	1160137
G000381965	2	1224	1236	135624	84642	129577	264574
G000381985	2	1224	28211	204441	41295	660514	189
G000382005	2	1224	1236	135622	267888	53246	43662
G000382085	2	1239	186801	186802	541000	1508657	39492
G000382125	2	976	117743	200644	49546	446680	446681
G000382145	2	1224	1236	72274	468	497	540500
G000382165	2	1224	1236	135613	1046	67575	368811
G000382185	2	1224	28216	80840	506	517	1159870
G000382225	2	976	768503	768507	1853232	89966	119644
G000382245	2	1224	1236	135619	28256	504090	504092
G000382265	2	1224	28211	204455	31989	245186	245188
G000382305	2	1224	28216	206351	481	59	61
G000382325	2	1224	28211	204458	76892	240236	240237
G000382345	2	1224	28216	80840	75682	149698	544911
G000382385	2	976	200643	171549	171552	838	439703
G000382425	2	976	117743	200644	49546	59734	247
G000382485	2	1224	28211	204457	41297	13687	629773
G000382645	2	1224	28211	0	0	0	939390
G000382665	2	74201	0	0	0	0	939909
G000382685	2	74201	0	0	0	0	939921
G000382705	2	1224	28211	356	255475	414371	401562
G000383095	2	1224	28211	204457	41297	13687	685778
G000383135	2	1224	28211	0	0	0	939301
G000383155	2	1224	28211	0	0	0	1007109
G000383295	2	1239	186801	186802	541000	1508657	1549
G000383315	2	201174	1760	85006	85023	205841	1169145
G000383375	2	1224	1236	0	0	0	1007118
G000383395	2	1224	1236	0	0	0	1007120
G000383415	2	1224	28211	356	45401	81	48292
G000383435	2	1239	91061	186826	33958	1578	357278
G000383535	2	201174	1760	85007	85025	1817	1172185
G000383675	2	201174	1760	85006	85021	68903	1172188
G000383715	2	74201	0	0	0	0	1009415
G000383735	2	74201	0	0	0	0	1009418
G000383755	2	74201	0	0	0	0	939920
G000383795	2	201174	1760	85010	2070	1851	369829
G000383815	2	201174	1760	0	0	0	932040
G000383835	2	200795	0	0	0	0	1131272
G000383855	2	1224	1236	135618	403	429	34058
G000383875	2	1239	91061	1385	186817	1276290	301148
G000383895	2	1224	28216	80840	75682	75654	75659
G000383915	2	201174	1760	85010	2070	1813	346045
G000383955	2	976	768503	768507	89373	451373	451374
G000383975	2157	28890	183963	1644060	1644061	134813	63128
G000384035	2	201174	1760	622450	622451	1849	33906
G000384075	2	1224	1236	135618	403	762296	645578
G000384115	2	201174	1760	85013	85033	35750	35751
G000384135	2	1239	909932	1843488	909930	78119	78120
G000384175	2	201174	1760	85011	2062	1883	1951
G000384195	2	1239	526524	526525	128827	174708	174709
G000384235	2	1224	1236	72273	135616	933	373391
G000384315	2	201174	1760	85010	2070	1813	381445
G000384335	2	1224	28211	356	45401	81	1163419
G000384355	2	1224	28216	206350	32011	359407	1131551
G000384375	2	1224	28216	206350	32011	359407	1055487
G000384395	2	1224	28221	69541	213422	271087	225196
G000384415	2	1224	1236	72273	135616	34067	34068
G000384475	2	1224	28211	356	31993	61653	1101190
G000384495	2	201174	1760	0	0	0	939195
G000384535	2	201174	1760	0	0	0	932041
G000384615	2	1224	28211	0	0	0	1009708
G000384635	2	1224	28211	0	0	0	939374
G000384815	2	1224	28221	213115	194924	1912771	126333
G000384935	2	1224	1236	0	0	0	1007119
G000384955	2	1224	1236	0	0	0	1009425
G000384965	2	1224	28211	356	772	773	155194
G000384995	2	1224	1236	0	0	0	939696
G000385035	2	1224	1236	0	0	0	1009711
G000385055	2	1224	1236	0	0	0	1009426
G000385115	2	1224	1236	135619	0	0	939745
G000385135	2	201174	1760	85006	85017	43676	88382
G000385175	2	1239	91061	1385	90964	45669	418756
G000385215	2	1224	1236	135613	72276	106633	152475
G000385295	2	74201	0	0	0	0	1009419
G000385335	2	1224	28211	356	45404	1143004	876270
G000385395	2	1224	28211	356	772	773	155194
G000385415	2	1224	28211	356	772	773	33047
G000385435	2	1224	28211	356	772	773	165694
G000385565	2157	28890	183980	2231	2232	2233	1316941
G000385635	2	0	0	0	0	1763546	1763547
G000385925	2	1239	91061	186826	1300	1301	45634
G000387765	2	1239	186801	186802	31979	1640153	1304284
G000388115	2	1224	1236	135624	84642	642	271417
G000388175	2	1224	28211	1921002	44746	44747	1169117
G000389635	2	1239	186801	186802	31979	1485	1501
G000389715	2	201174	1760	85007	85025	1827	38312
G000389735	2157	28889	183924	2281	0	0	1294123
G000389965	2	201174	1760	85008	28056	1865	649831
G000389985	2	201174	1760	85009	85015	1839	110319
G000390185	2	976	768503	768507	563798	1774589	1232681
G000390265	2	200918	188708	2419	188709	2335	2336
G000392435	2	95818	0	0	0	1331051	1332188
G000393955	2	1239	91061	186826	81852	1350	57732
G000397065	2	1224	1236	135622	72275	2742	209639
G000397165	2	1239	91061	186826	33958	1578	1613
G000397205	2	1224	1236	72274	135621	286	380021
G000397765	2	1383058	0	0	0	0	1052813
G000397885	2	456828	0	0	0	0	1046970
G000398025	2	221216	0	0	0	1432328	1432329
G000398305	2	67817	0	0	0	0	1047034
G000398345	2	67817	0	0	0	0	1047041
G000398765	2157	28889	0	0	0	0	1052806
G000398925	2	1239	186801	186802	31979	580596	501571
G000399765	2157	651137	0	0	0	0	1131266
G000399825	2157	28889	0	0	0	0	1052805
G000400505	2	1224	1236	91347	1903410	204037	69223
G000400735	2	1224	1236	72274	468	469	202954
G000400795	2	1224	1236	91347	1903410	204037	1089444
G000400935	2	544448	31969	186328	2131	2132	216933
G000400955	2	544448	31969	186328	2131	2132	216945
G000401015	2	265317	0	0	0	0	1027271
G000401175	2	1224	1236	135622	267893	135575	135577
G000401215	2	1239	186801	186802	31979	1485	84031
G000401255	2	1224	1236	135614	32033	338	1321368
G000401515	2	1224	1236	72273	135616	1237	1238
G000402075	2157	651137	0	0	0	0	913333
G000402095	2157	28889	0	0	0	0	1052804
G000402115	2	1052197	0	0	0	0	1130329
G000402235	2	67818	0	0	0	0	1104601
G000402275	2	142187	0	0	0	0	1046983
G000402295	2	1052815	0	0	0	1462351	1462352
G000402355	2157	743725	0	0	0	1462418	1462419
G000402415	2	456828	0	0	0	0	1130345
G000402455	2	62680	0	0	0	0	1047054
G000402755	2	62680	0	0	0	0	1007121
G000402795	2	62680	0	0	0	0	1007122
G000402835	2	508458	0	0	0	0	1104568
G000402875	2	67820	0	0	0	0	1104615
G000403035	2	74015	0	0	0	1432311	1432313
G000403075	2	1052197	0	0	0	0	1052810
G000403135	2	976	117747	200666	84566	1288026	1288027
G000403215	2	1239	186801	186802	186803	0	397291
G000403255	2	1239	186801	186802	186803	0	397288
G000403275	2	1239	186801	186802	186803	0	397287
G000403295	2	1239	186801	186802	186803	0	1235792
G000403315	2	1239	186801	186802	186803	0	397290
G000403335	2	1239	186801	186802	186803	0	1235793
G000403355	2	201174	84998	1643822	1643826	580024	671266
G000403375	2	1239	91061	1385	186822	44249	343517
G000403395	2	1239	186801	186802	541000	244127	1235835
G000403415	2	1239	0	0	0	0	1235796
G000403435	2	1239	186801	186802	216572	459786	1235797
G000403455	2	1239	186801	186802	186803	189330	1235798
G000403475	2	1239	186801	186802	186803	0	1235799
G000403495	2	1239	186801	186802	186803	0	1235800
G000403645	2157	28890	183963	1644060	1644061	1269201	1333523
G000403845	2	1239	186801	186802	186806	1730	1235790
G000403885	2	1224	28221	213118	213121	893	1292025
G000403925	2	1224	28221	213118	213121	893	712258
G000404025	2	1239	186801	68295	543371	44000	1214564
G000404125	2	1224	1236	91347	1903409	551	65700
G000404165	2157	28890	183925	2158	2159	2172	224719
G000404225	2157	28890	183967	1235850	1577788	1080709	1406512
G000404345	2	1052815	0	0	0	0	1052817
G000404425	2	67819	0	0	0	0	1104605
G000404445	2	0	0	0	0	0	1046935
G000404605	2	1052197	0	0	0	0	1130334
G000404665	2	1052197	0	0	0	0	1130333
G000404685	2	1052197	0	0	0	0	1130336
G000404705	2	0	0	0	0	0	1130338
G000404745	2	456828	0	0	0	0	1046967
G000404925	2	67820	0	0	0	0	699262
G000405125	2	142187	0	0	0	0	1104619
G000405145	2	142187	0	0	0	0	1104620
G000405325	2	67818	0	0	0	0	1104598
G000405625	2	67817	0	0	0	0	1047038
G000405685	2157	651137	0	0	0	0	1130285
G000405805	2	62680	0	0	0	0	939844
G000405885	2157	28889	0	0	0	0	1052802
G000405945	2	67812	0	0	0	1431823	1431825
G000406005	2	265317	0	0	0	0	1104566
G000406785	2	200795	0	0	0	0	712934
G000406905	2	200795	0	0	0	0	712934
G000406925	2	1239	91061	186826	81852	1350	1355
G000406945	2	1239	91061	186826	81852	1350	44009
G000407165	2	1239	91061	186826	81852	1350	155618
G000407245	2	1239	91061	186826	81852	1350	33945
G000407285	2	1239	91061	186826	81852	1350	41997
G000407365	2	1239	91061	186826	81852	1350	57732
G000407485	2	1239	91061	186826	81852	1350	160454
G000407505	2	1239	91061	186826	81852	1350	154621
G000407545	2	1239	91061	186826	81852	1350	160453
G000407605	2	1239	91061	186826	81852	1350	1356
G000409565	2	1224	28211	356	118882	354349	1201036
G000409775	2	1224	1236	135619	28256	2745	258591
G000409815	2	1239	91061	186826	33958	1578	1597
G000410175	2	1239	91061	186826	33958	1578	1597
G000410215	2	1239	91061	186826	33958	1578	1597
G000410435	2	1239	91061	186826	33958	1578	1597
G000410475	2	1239	91061	186826	33958	1578	1597
G000410635	2	1224	28216	80840	80864	283	1055192
G000410815	2	976	117747	200666	84566	84567	984
G000410875	2	1224	1236	72274	135621	286	553151
G000411115	2	976	117743	200644	49546	1016	45242
G000411135	2	201174	1760	2037	2049	1653174	59505
G000411155	2	201174	1760	2037	2049	1654	66228
G000411295	2	1239	91061	1385	186818	651660	1078085
G000411355	2	1239	186801	186802	186803	33042	1078091
G000411375	2	201174	1760	85007	1653	1716	598660
G000411515	2	1224	28216	80840	995019	40544	40545
G000411555	2	201174	84998	84999	1643824	1380	712156
G000411915	2	1239	91061	1385	0	33986	856854
G000412185	2	1224	28211	204455	69657	1712422	1161401
G000412695	2	1224	1236	72274	135621	286	53412
G000412995	2	203691	203692	136	137	157	69710
G000413015	2	203691	203692	136	137	157	53419
G000413035	2	203691	203692	136	137	157	58231
G000413055	2	203691	203692	136	137	157	51160
G000413315	2	201174	1760	85009	31957	1743	671222
G000413415	2	976	117743	200644	49546	76831	76832
G000414175	2	1224	1236	135622	72275	261825	182262
G000414195	2	1239	91061	1385	0	33986	1241306
G000414445	2	201174	1760	85004	31953	2701	2702
G000414465	2	201174	1760	85004	31953	2701	2702
G000414525	2	201174	1760	85004	31953	2701	2702
G000415005	2	1239	91061	186826	81852	1350	1351
G000415085	2	1239	91061	186826	81852	1350	1351
G000415145	2	1239	91061	186826	81852	1350	1351
G000415185	2	1239	91061	186826	81852	1350	1351
G000415565	2	204428	204429	51291	809	810	83554
G000415685	2	204428	204429	51291	809	810	83554
G000415945	2157	28890	183963	2235	0	0	1325472
G000415965	2157	28890	183963	1644055	1644056	293431	293091
G000415985	2157	28890	183963	1644055	1644056	293431	293091
G000416005	2157	28890	183963	1644055	1644056	293431	1238426
G000416025	2157	28890	183963	1644055	1963271	869896	1238427
G000416045	2157	28890	183963	1644055	1963271	56688	1238428
G000416085	2157	28890	183963	2235	0	0	1085028
G000416315	2	1224	1236	135619	135620	0	1330035
G000416985	2	976	117747	200666	84566	28453	1385985
G000417585	2	204428	204429	51291	809	810	83554
G000417695	2	204428	204429	51291	809	810	83554
G000417845	2	204428	204429	51291	809	810	83554
G000418365	2	201174	1760	85007	1653	1716	89154
G000418515	2	1239	91061	186826	33958	1578	1582
G000419445	2	201174	1760	85006	85023	1195526	444608
G000419485	2	1224	28211	0	0	0	938672
G000419525	2	1224	1236	72273	135617	45247	45248
G000419585	2	976	0	1100069	563843	689697	503170
G000419685	2	976	117743	200644	49546	237	271155
G000420025	2	201174	1497346	588673	361606	361607	588672
G000420045	2	1224	1236	72274	468	661182	392589
