taxon	dist	rank
976	0.000163619	phylum
1117	0.115616	phylum
2263	0.100033733	genus
2	0.00179001	kingdom
28216	0.0529431	class
2263	0.100033733	genus
459786	0.0153692	genus
1655514	0.117419	family
135618	0.118187	order
2258	0.118421872	order
12916	0.0966027	genus
1827	0.118947	genus
84567	0.120001	genus
2263	0.100033733	genus
196119	0.120344429	genus
106589	0.120876	genus
204457	0.121587	order
768507	0.121768	order
2	0.00179001	kingdom
33951	0.122593	genus
921	0.122748	species
1663	0.122779	genus
1187078	0.12325	genus
59732	0.0182715	genus
580370	0.000122118	class
1760	0.00322406	class
164450	0.112252423	genus
1041	0.127268	genus
168808	0.127667	genus
1760	0.00322406	class
1301	0.0640862	genus
356	0.129667	order
1570339	0.133087	family
37914	0.110814	genus
261963	0.133262	genus
2	0.00179001	kingdom
2	0.00179001	kingdom
1224	0.0238972	phylum
768507	0.121768	order
41297	0.135963	family
544448	0.136348	phylum
541000	0.136738	family
380240	0.00142148	genus
84111	0.137786	genus
84998	0.138041	class
832	0.139081	genus
568386	0.140159	family
1274363	0.140992	genus
374	0.141848	genus
1224	0.0238972	phylum
2263	0.100033733	genus
848	0.144005	genus
1890424	0.144759	order
2	0.00179001	kingdom
1730	0.0243927	genus
1224	0.0238972	phylum
2	0.00179001	kingdom
1239	0.00527053	phylum
20	0.146391	phylum
10	0.147622	phylum
1716	0.14964	genus
1186	0.150165	genus
2008794	0.150546	family
1239	0.00527053	phylum
1152	0.1507	genus
2004	0.152361	family
79206	0.154117	genus
2040	0.15455	genus
33882	0.154813	genus
2053	0.0242578	genus
135575	0.0241086	genus
2	0.00179001	kingdom
59753	0.157284	genus
204441	0.158548	order
906	0.04968	genus
186814	0.159048	family
1706375	0.159048	family
2008790	0.15925	family
81	0.159453	order
1186	0.150165	genus
239759	0.162454	genus
186801	0.162567	class
182269	0.162567	genus
65402	0.162793	genus
213468	0.16479	family
2	0.00179001	kingdom
106633	0.167712	genus
1707	0.16798	genus
31989	0.169494	family
305976	0.170064	genus
1386	0.0543078	genus
213468	0.16479	family
191412	0.170938	family
1499392	0.171535	family
416212	0.171535	genus
1825023	0.172015736	genus
109262	0.172298	genus
187492	0.172922	genus
213422	0.173558	family
1775411	0.173881	family
2	0.00179001	kingdom
1117	0.115616	phylum
1042322	0.175894	family
795747	0.176243	class
674963	0.176419	genus
106633	0.167712	genus
28211	0.176773	class
202746	0.177132	genus
85015	0.177313	family
1224	0.0238972	phylum
2	0.00179001	kingdom
28211	0.176773	class
186817	0.177862	family
186827	0.177862	family
1154	0.178609	genus
1236	0.00566812	class
1239	0.00527053	phylum
135618	0.118187	order
2	0.00179001	kingdom
2	0.00179001	kingdom
73029	0.180159	genus
1154	0.178609	genus
928852	0.039295977	phylum
2263	0.100033733	genus
18	0.181791	phylum
816	0.181791	genus
2263	0.100033733	genus
85006	0.0203414	order
72275	0.182426	family
2	0.00179001	kingdom
171549	0.182856	order
171549	0.182856	order
2137278	0.183074	family
2	0.00179001	kingdom
281119	0.183959	genus
453228	0.106159	family
246875	0.184184	genus
73029	0.180159	genus
1654	0.184184	genus
32003	0.184411	order
66848	0.184411	genus
338191	0.009259677	genus
13687	0.185336	genus
1485	0.185572	genus
1760	0.00322406	class
556257	0.185809	genus
28216	0.0529431	class
194924	0.187776	family
75787	0.188031	family
212790	0.188808	genus
161492	0.189337	genus
1890424	0.144759	order
1890424	0.144759	order
1616833	0.19098	genus
96	0.191547	genus
