,Taxonomic_rank,Taxon,Reference_genome_in_phylum,Distance_to_closest,Precision,Recall,F1,Method
41,kingdom,28890,407,0.020325247,0.9982918652510164,0.9307251993012837,0.9633202274041102,Kraken-II
42,class,28890,407,0.226798973,0.8107271781219937,0.12123642643737098,0.21092800356215155,Kraken-II
43,family,28890,407,0.226798973,0.6992023502317356,0.10441842602711267,0.181699384947745,Kraken-II
44,genus,28890,407,0.226798973,0.08865474660637,0.014336362382222159,0.024679085239631117,Kraken-II
45,order,28890,407,0.226798973,0.8118157397109939,0.12121212119342861,0.21092800614371182,Kraken-II
46,phylum,28890,407,0.226798973,0.8327662121369434,0.1280232629503318,0.22192653205368448,Kraken-II
47,species,28890,407,0.226798973,0.0,0.0,0.0,Kraken-II
48,kingdom,28890,407,0.226798973,0.815462314670297,0.12963391848786668,0.22370305373323157,Kraken-II
49,class,28890,407,0.1203173,0.993287759908043,0.4832505642613618,0.6501742782031623,Kraken-II
50,family,28890,407,0.1203173,0.9935336156079535,0.48319239211484055,0.6501742787628019,Kraken-II
51,genus,28890,407,0.1203173,0.9868898183831118,0.4806774952477692,0.6464745967110704,Kraken-II
52,order,28890,407,0.1203173,0.9934414054592744,0.4832142050284833,0.6501742785529063,Kraken-II
53,phylum,28890,407,0.1203173,0.9940985629556315,0.48399422340634296,0.651020979604927,Kraken-II
54,species,28890,407,0.1203173,0.0,0.0,0.0,Kraken-II
55,kingdom,28890,407,0.1203173,0.9935511737500228,0.4845165366871533,0.6513757298788224,Kraken-II
56,class,51967,1,1.080248207,0.0,0.0,0.0,Kraken-II
57,family,51967,1,1.080248207,0.0,0.0,0.0,Kraken-II
58,genus,51967,1,1.080248207,0.0,0.0,0.0,Kraken-II
59,order,51967,1,1.080248207,0.0,0.0,0.0,Kraken-II
60,phylum,51967,1,1.080248207,0.0,0.0,0.0,Kraken-II
61,species,51967,1,1.080248207,0.0,0.0,0.0,Kraken-II
62,kingdom,51967,1,1.080248207,0.6612903136923345,0.007407965067016793,0.014651577372656792,Kraken-II
63,class,28890,407,0.115770454,0.9914399173433034,0.5077738941021191,0.6715839273021297,Kraken-II
64,family,28890,407,0.115770454,0.9920819471368197,0.5076056506961647,0.6715839287173226,Kraken-II
65,genus,28890,407,0.115770454,0.990274380068293,0.5065197400385124,0.6702193223829439,Kraken-II
66,order,28890,407,0.115770454,0.9916732865531899,0.5077127017793877,0.671583927816523,Kraken-II
67,phylum,28890,407,0.115770454,0.9920655908219266,0.5084416463833544,0.6723114534255352,Kraken-II
68,species,28890,407,0.115770454,0.0,0.0,0.0,Kraken-II
69,kingdom,28890,407,0.115770454,0.9913135341614879,0.508957225217496,0.67258902377209,Kraken-II
70,class,28889,167,0.018130286,0.9997491846940448,0.9568648630992985,0.9778320652092284,Kraken-II
71,family,28889,167,0.018130286,0.99957653685703,0.956377550876894,0.9774950023145595,Kraken-II
72,genus,28889,167,0.018130286,0.982477093482392,0.8390932341454398,0.9051370058629481,Kraken-II
73,order,28889,167,0.018130286,0.99957653685703,0.956377550876894,0.9774950023145595,Kraken-II
74,phylum,28889,167,0.018130286,0.9997491846940448,0.9568648630992985,0.9778320652092284,Kraken-II
75,species,28889,167,0.018130286,0.9784712055092164,0.8373229860776151,0.9024061464159938,Kraken-II
76,kingdom,28889,167,0.018130286,0.9997491846940448,0.9568648630992985,0.9778320652092284,Kraken-II
77,class,28890,407,0.070697047,0.9865024461938098,0.6191326182372316,0.7607856255900927,Kraken-II
78,family,28890,407,0.070697047,0.9827848465647475,0.6171574126486403,0.7581888142017323,Kraken-II
79,genus,28890,407,0.070697047,0.9712019728289764,0.6134461481132863,0.7519351983855039,Kraken-II
80,order,28890,407,0.070697047,0.986573783689299,0.6191045226714408,0.760785625717695,Kraken-II
81,phylum,28890,407,0.070697047,0.9871890574837601,0.619868450802167,0.7615452973272813,Kraken-II
82,species,28890,407,0.070697047,0.0,0.0,0.0,Kraken-II
83,kingdom,28890,407,0.070697047,0.9861976095928541,0.6205347010091031,0.7617523168047062,Kraken-II
84,class,28890,407,0.076378256,0.9842260801683687,0.4022192028378292,0.5710600756183969,Kraken-II
85,family,28890,407,0.076378256,0.9848081610908523,0.4021220719026017,0.5710600770585819,Kraken-II
86,genus,28890,407,0.076378256,0.9773965238902448,0.39930665933976617,0.5669749451940976,Kraken-II
87,order,28890,407,0.076378256,0.9846261868566369,0.4021524202801237,0.5710600766083976,Kraken-II
88,phylum,28890,407,0.076378256,0.988576902871038,0.4042979639820519,0.5738875316714864,Kraken-II
89,species,28890,407,0.076378256,0.0,0.0,0.0,Kraken-II
90,kingdom,28890,407,0.076378256,0.988121505962003,0.4049951765939655,0.574512639538507,Kraken-II
91,class,28890,407,0.034525996,0.9993691818120897,0.8797388562389705,0.9357410052640387,Kraken-II
92,family,28890,407,0.034525996,0.99940325973549,0.879712450342221,0.9357410052843697,Kraken-II
93,genus,28890,407,0.034525996,0.9954954953256389,0.8786350012983396,0.9334168781940859,Kraken-II
94,order,28890,407,0.034525996,0.9993691818120897,0.8797388562389705,0.9357410052640387,Kraken-II
95,phylum,28890,407,0.034525996,0.9994885693585829,0.8798265226706145,0.9358429322925543,Kraken-II
96,species,28890,407,0.034525996,0.9554059377164335,0.870504495368615,0.9109763477248777,Kraken-II
97,kingdom,28890,407,0.034525996,0.9994715487028277,0.8798697399483958,0.9358599182105123,Kraken-II
98,class,28890,407,0.488043988,0.3652858597559539,0.01646274666865247,0.03150477013275043,Kraken-II
99,family,28890,407,0.488043988,0.0,0.0,0.0,Kraken-II
100,genus,28890,407,0.488043988,0.0,0.0,0.0,Kraken-II
101,order,28890,407,0.488043988,0.3720362609064286,0.016449295468126707,0.03150478444395271,Kraken-II
102,phylum,28890,407,0.488043988,0.554316659591218,0.026659312369513494,0.05087111115538733,Kraken-II
103,species,28890,407,0.488043988,0.0,0.0,0.0,Kraken-II
104,kingdom,28890,407,0.488043988,0.5941036313457306,0.03054943035180855,0.05810981510009923,Kraken-II
105,class,976,834,0.0,0.9999999998499692,0.9997900009000269,0.9998899893740083,Kraken-II
106,family,976,834,0.0,0.9999999998499625,0.9997450011250326,0.9998674842544216,Kraken-II
107,genus,976,834,0.0,0.9999999998499602,0.9997300012000344,0.9998599823228133,Kraken-II
108,order,976,834,0.0,0.9999999998499625,0.9997450011250326,0.9998674842544216,Kraken-II
109,phylum,976,834,0.0,0.9999999998499984,0.9999849999250026,0.9999874998562509,Kraken-II
110,species,976,834,0.0,0.9998613847646837,0.9739116083630004,0.9867109127667272,Kraken-II
111,kingdom,976,834,0.0,0.9999999998500007,0.9999999998500007,0.9999949998750005,Kraken-II
112,class,28889,167,0.03156216,0.9998635462577841,0.8794011309981545,0.9357664891295415,Kraken-II
113,family,28889,167,0.03156216,0.9997441188311792,0.879283442225397,0.9356475552901499,Kraken-II
114,genus,28889,167,0.03156216,0.9992320817407453,0.8789138721625117,0.9352140713624717,Kraken-II
115,order,28889,167,0.03156216,0.9997441406543608,0.8793584587290165,0.9356900346872962,Kraken-II
116,phylum,28889,167,0.03156216,0.9998635462577841,0.8794011309981545,0.9357664891295415,Kraken-II
117,species,28889,167,0.03156216,0.9975237800779541,0.8780854452845547,0.9339967310714589,Kraken-II
118,kingdom,28889,167,0.03156216,0.9998635555669492,0.8794611378989392,0.9358004653241392,Kraken-II
119,class,28889,167,0.020868978,0.9999236301568749,0.9820587439647687,0.9909056736181808,Kraken-II
120,family,28889,167,0.020868978,0.9999083450193379,0.981938464622202,0.9908369366491249,Kraken-II
121,genus,28889,167,0.020868978,0.9971399319113476,0.9228467009184932,0.9585509482505756,Kraken-II
122,order,28889,167,0.020868978,0.9999083450193379,0.981938464622202,0.9908369366491249,Kraken-II
123,phylum,28889,167,0.020868978,0.9999236301568749,0.9820587439647687,0.9909056736181808,Kraken-II
124,species,28889,167,0.020868978,0.997091133483312,0.9228281793823203,0.9585184092192209,Kraken-II
125,kingdom,28889,167,0.020868978,0.9998167321848839,0.9821618781813574,0.9909056736086868,Kraken-II
126,class,28890,407,0.012389386,0.999999999849994,0.9999550000750064,0.9999724994812468,Kraken-II
127,family,28890,407,0.012389386,0.999999999849994,0.9999550000750064,0.9999724994812468,Kraken-II
128,genus,28890,407,0.012389386,0.9999999998499917,0.9999400001500082,0.999964999124987,Kraken-II
129,order,28890,407,0.012389386,0.999999999849994,0.9999550000750064,0.9999724994812468,Kraken-II
130,phylum,28890,407,0.012389386,0.999999999849994,0.9999550000750064,0.9999724994812468,Kraken-II
131,species,28890,407,0.012389386,0.9998617276344909,0.9763269223534569,0.9879491854994905,Kraken-II
132,kingdom,28890,407,0.012389386,0.999999999849994,0.9999550000750064,0.9999724994812468,Kraken-II
133,class,28890,407,0.195864722,0.9550118377334756,0.10946098754474767,0.1964081268251705,Kraken-II
134,family,28890,407,0.195864722,0.9567738521919165,0.10943788719916822,0.19640812983440115,Kraken-II
135,genus,28890,407,0.195864722,0.5704186296500989,0.0647338283311204,0.11627066803036484,Kraken-II
136,order,28890,407,0.195864722,0.9567738521919165,0.10943788719916822,0.19640812983440115,Kraken-II
137,phylum,28890,407,0.195864722,0.9610100733206725,0.11066913768315491,0.19847947525683257,Kraken-II
138,species,28890,407,0.195864722,0.0,0.0,0.0,Kraken-II
139,kingdom,28890,407,0.195864722,0.961707631356135,0.11200674991909014,0.2006431967813835,Kraken-II
140,class,651137,49,0.031894266,0.9957839455249201,0.8105329699708705,0.8936540909529573,Kraken-II
141,family,651137,49,0.031894266,0.9957839455249201,0.8105329699708705,0.8936540909529573,Kraken-II
142,genus,651137,49,0.031894266,0.9904478052184512,0.8088010762031108,0.8904502393238458,Kraken-II
143,order,651137,49,0.031894266,0.9957839455249201,0.8105329699708705,0.8936540909529573,Kraken-II
144,phylum,651137,49,0.031894266,0.9968277971640457,0.8128280320606319,0.8954687253163469,Kraken-II
145,species,651137,49,0.031894266,0.9825024145585662,0.8047774818098474,0.8847986223915315,Kraken-II
146,kingdom,651137,49,0.031894266,0.9967179863562795,0.8130217027157842,0.895541918628905,Kraken-II
147,class,28890,407,0.231827456,0.9553261689184143,0.1707162188465631,0.28966622351670507,Kraken-II
148,family,28890,407,0.231827456,0.956864405968759,0.17066719063897529,0.2896662269142574,Kraken-II
149,genus,28890,407,0.231827456,0.08920310719280518,0.018174704791191012,0.030194118117013356,Kraken-II
150,order,28890,407,0.231827456,0.9562971110728407,0.17068525038613394,0.28966622566225114,Kraken-II
151,phylum,28890,407,0.231827456,0.96440592311982,0.17301189539082604,0.29338775431671504,Kraken-II
152,species,28890,407,0.231827456,0.0,0.0,0.0,Kraken-II
153,kingdom,28890,407,0.231827456,0.9645899440750042,0.17435804535205862,0.29532962370240173,Kraken-II
154,class,28890,407,0.055658351,0.9794986243370792,0.5729465518203702,0.7229842998955726,Kraken-II
155,family,28890,407,0.055658351,0.9782145268605483,0.5716021813225778,0.7215639715106189,Kraken-II
156,genus,28890,407,0.055658351,0.9753244043526695,0.5695526475091977,0.7191446080280345,Kraken-II
157,order,28890,407,0.055658351,0.9798291838270478,0.5728335103091768,0.7229843005479935,Kraken-II
158,phylum,28890,407,0.055658351,0.9813275319241375,0.574591332215056,0.7247918679361421,Kraken-II
159,species,28890,407,0.055658351,0.943309405236962,0.55610671039728,0.6997086215365128,Kraken-II
160,kingdom,28890,407,0.055658351,0.9799472838441399,0.5755262478069043,0.7251576398507434,Kraken-II
161,class,28890,407,0.108425931,0.995900656113931,0.687028986493926,0.8131160513378184,Kraken-II
162,family,28890,407,0.108425931,0.9962264971870551,0.6868740035662053,0.8131160518282851,Kraken-II
163,genus,28890,407,0.108425931,0.9940824523988814,0.6856587745217093,0.8115503595552066,Kraken-II
164,order,28890,407,0.108425931,0.9961395853879739,0.686915325509563,0.8131160516974243,Kraken-II
165,phylum,28890,407,0.108425931,0.9961424459514988,0.6874266806004772,0.8134751544801105,Kraken-II
166,species,28890,407,0.108425931,0.0,0.0,0.0,Kraken-II
167,kingdom,28890,407,0.108425931,0.9959050313666075,0.6877660613595622,0.8136335127481076,Kraken-II
168,class,28889,167,0.580348636,0.728922084002966,0.01028413111735893,0.020281834009836536,Kraken-II
169,family,28889,167,0.580348636,0.435957691704375,0.005605330351034896,0.011068098633847273,Kraken-II
170,genus,28889,167,0.580348636,0.0,0.0,0.0,Kraken-II
171,order,28889,167,0.580348636,0.5844594528777088,0.007828290444986532,0.015449386400757908,Kraken-II
172,phylum,28889,167,0.580348636,0.7166841477787603,0.010286609333209842,0.020281829391996024,Kraken-II
173,species,28889,167,0.580348636,0.0,0.0,0.0,Kraken-II
174,kingdom,28889,167,0.580348636,0.8064516047736734,0.012034599471675877,0.023715008099981814,Kraken-II
175,class,28889,167,0.051437191,0.9993739211141875,0.8864025212537291,0.939499344621985,Kraken-II
176,family,28889,167,0.051437191,0.9990351573371979,0.8860531450403764,0.9391534033509849,Kraken-II
177,genus,28889,167,0.051437191,0.9989502732677056,0.8858343966840575,0.938993012602396,Kraken-II
178,order,28889,167,0.051437191,0.9989507174047266,0.8862097438801576,0.9392040429243287,Kraken-II
179,phylum,28889,167,0.051437191,0.9993739211141875,0.8864025212537291,0.939499344621985,Kraken-II
180,species,28889,167,0.051437191,0.9986280253732908,0.8854413839417533,0.9386298437930564,Kraken-II
181,kingdom,28889,167,0.051437191,0.9995262185486173,0.8864328695078808,0.9395836863577157,Kraken-II
182,class,651137,49,0.185317881,0.834402075072494,0.26935718344773446,0.40724488577583096,Kraken-II
183,family,651137,49,0.185317881,0.8357521078467581,0.26921679797381165,0.40724488981494444,Kraken-II
184,genus,651137,49,0.185317881,0.7384615380902657,0.2389652647459586,0.3610804431394348,Kraken-II
185,order,651137,49,0.185317881,0.834402075072494,0.26935718344773446,0.40724488577583096,Kraken-II
