,Taxonomic_Rank,Taxon,Reference_Count,Distance_to_closest,Precision,Recall,F1,Method
59,order,51967,1,1.080248207,0.0,0.0,0.0,Kraken-II (4Gb)
60,phylum,51967,1,1.080248207,0.0,0.0,0.0,Kraken-II (4Gb)
61,species,51967,1,1.080248207,0.0,0.0,0.0,Kraken-II (4Gb)
62,superkingdom,51967,1,1.080248207,0.9999996153847633,0.0003899980499512505,0.0007796842276119277,Kraken-II (4Gb)
63,class,28890,407,0.115770454,0.9956924042825585,0.09365246097034026,0.17120049123549536,Kraken-II (4Gb)
64,family,28890,407,0.115770454,0.9963282231859384,0.09364683991152288,0.171200492144144,Kraken-II (4Gb)
65,genus,28890,407,0.115770454,0.995648668822484,0.09270708281922162,0.16961886839996876,Kraken-II (4Gb)
66,order,28890,407,0.115770454,0.9963282231859384,0.09364683991152288,0.171200492144144,Kraken-II (4Gb)
67,phylum,28890,407,0.115770454,0.9958565721181569,0.09377110186015049,0.1714011368958064,Kraken-II (4Gb)
68,species,28890,407,0.115770454,0.0,0.0,0.0,Kraken-II (4Gb)
69,superkingdom,28890,407,0.115770454,0.9944356105016923,0.093873814369391,0.17155159003728307,Kraken-II (4Gb)
70,class,28889,167,0.018130286,0.9997990755475589,0.7465082435833433,0.8547796481737947,Kraken-II (4Gb)
71,family,28889,167,0.018130286,0.9997586239566009,0.745675493099441,0.8542187029816216,Kraken-II (4Gb)
72,genus,28889,167,0.018130286,0.9960817124148319,0.7342459570162849,0.8453482613470472,Kraken-II (4Gb)
73,order,28889,167,0.018130286,0.9997586482301369,0.7457505062267271,0.8542679306823933,Kraken-II (4Gb)
74,phylum,28889,167,0.018130286,0.9997990755475589,0.7465082435833433,0.8547796481737947,Kraken-II (4Gb)
75,species,28889,167,0.018130286,0.9882885919831584,0.6196944741512376,0.7617408211727734,Kraken-II (4Gb)
76,superkingdom,28889,167,0.018130286,0.9997990755475589,0.7465082435833433,0.8547796481737947,Kraken-II (4Gb)
77,class,28890,407,0.070697047,0.9922419236981603,0.0940736737677394,0.17185242296858425,Kraken-II (4Gb)
78,family,28890,407,0.070697047,0.9904761889040061,0.09368384702903841,0.1711753999681991,Kraken-II (4Gb)
79,genus,28890,407,0.070697047,0.9790701374355806,0.09210051699950395,0.16836163995912976,Kraken-II (4Gb)
80,order,28890,407,0.070697047,0.9922419236981603,0.0940736737677394,0.17185242296858425,Kraken-II (4Gb)
81,phylum,28890,407,0.070697047,0.992573864761299,0.09429600719088922,0.17222832937536894,Kraken-II (4Gb)
82,species,28890,407,0.070697047,0.0,0.0,0.0,Kraken-II (4Gb)
83,superkingdom,28890,407,0.070697047,0.9933638789803068,0.09436397747176525,0.17235359814194953,Kraken-II (4Gb)
84,class,28890,407,0.076378256,0.9981737783562343,0.15581862919280118,0.269555884497682,Kraken-II (4Gb)
85,family,28890,407,0.076378256,0.9991341148747989,0.15579525335956745,0.26955588639267697,Kraken-II (4Gb)
86,genus,28890,407,0.076378256,0.9983535099289554,0.15465866464296193,0.2678248937312101,Kraken-II (4Gb)
87,order,28890,407,0.076378256,0.9991341148747989,0.15579525335956745,0.26955588639267697,Kraken-II (4Gb)
88,phylum,28890,407,0.076378256,0.999904029750572,0.15628656284218542,0.2703191210641594,Kraken-II (4Gb)
