,Taxonomic_Rank,Taxon,Reference_Count,Distance_to_closest,Precision,Recall,F1,Method
0,class,28889,167,0.011243566,0.9999546901572314,0.9931597262400756,0.9965406255211607,Kraken-II (16Gb)
1,family,28889,167,0.011243566,0.9999244825555166,0.993144519967426,0.9965179694073306,Kraken-II (16Gb)
2,genus,28889,167,0.011243566,0.8770935324617528,0.9882168105146663,0.9293401816326543,Kraken-II (16Gb)
3,order,28889,167,0.011243566,0.9999244836960739,0.9931595210174973,0.9965255215586059,Kraken-II (16Gb)
4,phylum,28889,167,0.011243566,0.9999546901572314,0.9931597262400756,0.9965406255211607,Kraken-II (16Gb)
5,species,28889,167,0.011243566,0.9770543838153115,0.8860782751139097,0.9293401758093113,Kraken-II (16Gb)
6,superkingdom,28889,167,0.011243566,0.9999546901572314,0.9931597262400756,0.9965406255211607,Kraken-II (16Gb)
7,class,28890,407,0.97194198,0.0,0.0,0.0,Kraken-II (16Gb)
8,family,28890,407,0.97194198,0.0,0.0,0.0,Kraken-II (16Gb)
9,genus,28890,407,0.97194198,0.0,0.0,0.0,Kraken-II (16Gb)
10,order,28890,407,0.97194198,0.0,0.0,0.0,Kraken-II (16Gb)
11,phylum,28890,407,0.97194198,0.4633507732107128,0.0026631759497663062,0.005295799229817951,Kraken-II (16Gb)
12,species,28890,407,0.97194198,0.0,0.0,0.0,Kraken-II (16Gb)
13,superkingdom,28890,407,0.97194198,0.6058558422104541,0.004045599470004572,0.008037396601029586,Kraken-II (16Gb)
14,class,28890,407,0.143912952,0.9938991562022703,0.33301769095113287,0.49887603487231996,Kraken-II (16Gb)
15,family,28890,407,0.143912952,0.9941221335333952,0.33299266557457724,0.4988760354331057,Kraken-II (16Gb)
16,genus,28890,407,0.143912952,0.9913082634580913,0.3311369858394053,0.4964384701464678,Kraken-II (16Gb)
17,order,28890,407,0.143912952,0.9940775300636766,0.3329976703489896,0.4988760353209384,Kraken-II (16Gb)
18,phylum,28890,407,0.143912952,0.9949805041926318,0.3335737359576931,0.4996361545167758,Kraken-II (16Gb)
19,species,28890,407,0.143912952,0.0,0.0,0.0,Kraken-II (16Gb)
20,superkingdom,28890,407,0.143912952,0.9943171644020418,0.3339495040075218,0.49997373555588476,Kraken-II (16Gb)
21,class,28889,167,0.104570866,0.9736594525425034,0.07778796577663386,0.14406477495503117,Kraken-II (16Gb)
22,family,28889,167,0.104570866,0.962001143857168,0.07579587168625566,0.14051883282683045,Kraken-II (16Gb)
23,genus,28889,167,0.104570866,0.9591484446506551,0.07525506364172885,0.1395588450178048,Kraken-II (16Gb)
24,order,28889,167,0.104570866,0.9657794658445258,0.07640591392657121,0.1416073495846315,Kraken-II (16Gb)
25,phylum,28889,167,0.104570866,0.9729272401336205,0.07779264313428548,0.14406477400632203,Kraken-II (16Gb)
26,species,28889,167,0.104570866,0.0,0.0,0.0,Kraken-II (16Gb)
27,superkingdom,28889,167,0.104570866,0.9792833128419498,0.07883586752827154,0.14592291934873763,Kraken-II (16Gb)
28,class,28889,167,0.048820567,0.9996021956799263,0.7540624483091418,0.8596377687197692,Kraken-II (16Gb)
29,family,28889,167,0.048820567,0.9996618057573234,0.7539384845080362,0.8595792474953993,Kraken-II (16Gb)
30,genus,28889,167,0.048820567,0.9987851507610161,0.7529501845550025,0.8586127771370766,Kraken-II (16Gb)
31,order,28889,167,0.048820567,0.9996618057573234,0.7539384845080362,0.8595792474953993,Kraken-II (16Gb)
32,phylum,28889,167,0.048820567,0.9995823137817327,0.7540737627533425,0.859637768695821,Kraken-II (16Gb)
33,species,28889,167,0.048820567,0.0,0.0,0.0,Kraken-II (16Gb)
34,superkingdom,28889,167,0.048820567,0.999403412281867,0.7541756080324481,0.8596377684804184,Kraken-II (16Gb)
