,Taxonomic_rank,Taxon,Reference_genome_in_phylum,Distance_to_closest,Precision,Recall,F1,Method
0,class,28889,167,0.011243566,0.9999664179931549,0.8933323331743295,0.9436414771029379,CLARK
1,family,28889,167,0.011243566,0.999949627073687,0.8933307330953242,0.9436331079532783,CLARK
2,genus,28889,167,0.011243566,0.979296796128132,0.891325610402646,0.9332376703481441,CLARK
3,order,28889,167,0.011243566,0.999949627073687,0.8933307330953242,0.9436331079532783,CLARK
4,phylum,28889,167,0.011243566,0.9999664179931549,0.8933323331743295,0.9436414771029379,CLARK
5,species,28889,167,0.011243566,0.979296796128132,0.891325610402646,0.9332376703481441,CLARK
6,kingdom,28889,167,0.011243566,0.9999664179931549,0.8933323331743295,0.9436414771029379,CLARK
7,class,28890,407,0.97194198,0.0,0.0,0.0,CLARK
8,family,28890,407,0.97194198,0.0,0.0,0.0,CLARK
9,genus,28890,407,0.97194198,0.0,0.0,0.0,CLARK
10,order,28890,407,0.97194198,0.0,0.0,0.0,CLARK
11,phylum,28890,407,0.97194198,0.42714570005697206,0.0032238626087339765,0.00639927715138644,CLARK
12,species,28890,407,0.97194198,0.0,0.0,0.0,CLARK
13,kingdom,28890,407,0.97194198,0.6007983912016289,0.0045285630456424145,0.008989219551812538,CLARK
14,class,28890,407,0.143912952,0.994525228931016,0.42880769802604,0.599237282835911,CLARK
15,family,28890,407,0.143912952,0.994525228931016,0.42880769802604,0.599237282835911,CLARK
16,genus,28890,407,0.143912952,0.9899919792900261,0.4276890629063439,0.5973216015407394,CLARK
17,order,28890,407,0.143912952,0.994525228931016,0.42880769802604,0.599237282835911,CLARK
18,phylum,28890,407,0.143912952,0.9952923942548759,0.42899657301313704,0.5995609574868656,CLARK
19,species,28890,407,0.143912952,0.0,0.0,0.0,CLARK
20,kingdom,28890,407,0.143912952,0.9959200749743976,0.4291510142104957,0.5998256709620876,CLARK
21,class,28889,167,0.104570866,0.983224014905116,0.1171581446903601,0.20936663424362684,CLARK
22,family,28889,167,0.104570866,0.9702320875753884,0.11578931521190568,0.2068862994728245,CLARK
23,genus,28889,167,0.104570866,0.9677093832395189,0.11552303080581183,0.20640388419350408,CLARK
24,order,28889,167,0.104570866,0.9731331975616383,0.11609534413036154,0.20744075632891695,CLARK
25,phylum,28889,167,0.104570866,0.983224014905116,0.1171581446903601,0.20936663424362684,CLARK
26,species,28889,167,0.104570866,0.0,0.0,0.0,CLARK
27,kingdom,28889,167,0.104570866,0.9873864770593006,0.11759580571189991,0.21015985383649063,CLARK
28,class,28889,167,0.048820567,0.999219316158438,0.8068592869333043,0.8927905126530805,CLARK
29,family,28889,167,0.048820567,0.9992007284523502,0.8068563879672705,0.8927813183505348,CLARK
30,genus,28889,167,0.048820567,0.9986059218575427,0.8067635750830785,0.8924870200222749,CLARK
31,order,28889,167,0.048820567,0.9992007284523502,0.8068563879672705,0.8927813183505348,CLARK
32,phylum,28889,167,0.048820567,0.999219316158438,0.8068592869333043,0.8927905126530805,CLARK
33,species,28889,167,0.048820567,0.0,0.0,0.0,CLARK
34,kingdom,28889,167,0.048820567,0.9993122546888766,0.8068737804582209,0.8928364818754297,CLARK
35,class,28890,407,0.020325247,0.9987308941679823,0.5433722098822635,0.7038168751908402,CLARK
36,family,28890,407,0.020325247,0.9987308941679823,0.5433722098822635,0.7038168751908402,CLARK
37,genus,28890,407,0.020325247,0.9985377694094416,0.5433242260570864,0.7037286653474755,CLARK
38,order,28890,407,0.020325247,0.9987308941679823,0.5433722098822635,0.7038168751908402,CLARK
39,phylum,28890,407,0.020325247,0.998896429675303,0.5434133308503439,0.703892474073435,CLARK
40,species,28890,407,0.020325247,0.6366771504064787,0.4313619199911469,0.5142802622572112,CLARK
41,kingdom,28890,407,0.020325247,0.998896429675303,0.5434133308503439,0.703892474073435,CLARK
42,class,28890,407,0.226798973,0.9114023060602341,0.07037786569752955,0.13066447584719093,CLARK
43,family,28890,407,0.226798973,0.7938587897636246,0.06186274060599839,0.11477964442358767,CLARK
44,genus,28890,407,0.226798973,0.08664189304392354,0.007145507039510701,0.013200797807000827,CLARK
45,order,28890,407,0.226798973,0.9114023060602341,0.07037786569752955,0.13066447584719093,CLARK
46,phylum,28890,407,0.226798973,0.9335028340827248,0.07196164456828114,0.13362129139244056,CLARK
47,species,28890,407,0.226798973,0.0,0.0,0.0,CLARK
48,kingdom,28890,407,0.226798973,0.944455308146968,0.07274452795553914,0.13508315222254877,CLARK
49,class,28890,407,0.1203173,0.9946798612319357,0.4019000660811286,0.572482865786946,CLARK
50,family,28890,407,0.1203173,0.9946798612319357,0.4019000660811286,0.572482865786946,CLARK
51,genus,28890,407,0.1203173,0.9900293906060385,0.4007741079834374,0.5705698805769751,CLARK
52,order,28890,407,0.1203173,0.9946798612319357,0.4019000660811286,0.572482865786946,CLARK
53,phylum,28890,407,0.1203173,0.9962052155972301,0.40226845934015343,0.5731092102778621,CLARK
54,species,28890,407,0.1203173,0.0,0.0,0.0,CLARK
55,kingdom,28890,407,0.1203173,0.996577253247302,0.40235824252311553,0.5732618938585206,CLARK
56,class,51967,1,1.080248207,0.0,0.0,0.0,CLARK
57,family,51967,1,1.080248207,0.0,0.0,0.0,CLARK
58,genus,51967,1,1.080248207,0.0,0.0,0.0,CLARK
59,order,51967,1,1.080248207,0.0,0.0,0.0,CLARK
60,phylum,51967,1,1.080248207,0.0,0.0,0.0,CLARK
61,species,51967,1,1.080248207,0.0,0.0,0.0,CLARK
62,kingdom,51967,1,1.080248207,0.8524589814565992,0.0031216700930315213,0.006220488040932771,CLARK
63,class,28890,407,0.115770454,0.9957950926923123,0.4092138477567595,0.5800535917724742,CLARK
64,family,28890,407,0.115770454,0.9957950926923123,0.4092138477567595,0.5800535917724742,CLARK
65,genus,28890,407,0.115770454,0.9929796332615527,0.40852952231537726,0.5788882636830628,CLARK
66,order,28890,407,0.115770454,0.9957950926923123,0.4092138477567595,0.5800535917724742,CLARK
67,phylum,28890,407,0.115770454,0.9966726384889127,0.40942682041434947,0.5804164203386815,CLARK
68,species,28890,407,0.115770454,0.0,0.0,0.0,CLARK
69,kingdom,28890,407,0.115770454,0.9970748469790213,0.4095243815745529,0.5805826548038654,CLARK
70,class,28889,167,0.018130286,0.9999280651368686,0.8340758740479612,0.9094978583257858,CLARK
71,family,28889,167,0.018130286,0.9997662120994557,0.8340534700341984,0.9094175828305998,CLARK
72,genus,28889,167,0.018130286,0.9838686470913447,0.8318230194873311,0.9014747343869066,CLARK
73,order,28889,167,0.018130286,0.9997662120994557,0.8340534700341984,0.9094175828305998,CLARK
74,phylum,28889,167,0.018130286,0.9999280651368686,0.8340758740479612,0.9094978583257858,CLARK
75,species,28889,167,0.018130286,0.9799302231809642,0.8312611553094138,0.8994890784844303,CLARK
76,kingdom,28889,167,0.018130286,0.9999280651368686,0.8340758740479612,0.9094978583257858,CLARK
77,class,28890,407,0.070697047,0.9965531834684183,0.4952443916134142,0.6616635862438963,CLARK
78,family,28890,407,0.070697047,0.9932877786196747,0.49442395959147806,0.660211199319399,CLARK
79,genus,28890,407,0.070697047,0.9780794578889521,0.490567468306911,0.6534051008119376,CLARK
80,order,28890,407,0.070697047,0.9965531834684183,0.4952443916134142,0.6616635862438963,CLARK
81,phylum,28890,407,0.070697047,0.9973695346806042,0.4954490837345375,0.6620261910933302,CLARK
82,species,28890,407,0.070697047,0.0,0.0,0.0,CLARK
83,kingdom,28890,407,0.070697047,0.9977928279017376,0.4955551550446654,0.6622141310789069,CLARK
84,class,28890,407,0.076378256,0.9937402186063478,0.30538481186892125,0.46719265139769045,CLARK
85,family,28890,407,0.076378256,0.9937402186063478,0.30538481186892125,0.46719265139769045,CLARK
86,genus,28890,407,0.076378256,0.9835680746363615,0.30320664541417935,0.4635186784550271,CLARK
87,order,28890,407,0.076378256,0.9937402186063478,0.30538481186892125,0.46719265139769045,CLARK
88,phylum,28890,407,0.076378256,0.996821204520334,0.30604186055883575,0.468301976996301,CLARK
89,species,28890,407,0.076378256,0.0,0.0,0.0,CLARK
90,kingdom,28890,407,0.076378256,0.9973102499035064,0.3061460397066375,0.4684779127784193,CLARK
91,class,28890,407,0.034525996,0.9997071891901707,0.8708327080463867,0.9308254434720603,CLARK
92,family,28890,407,0.034525996,0.9997071891901707,0.8708327080463867,0.9308254434720603,CLARK
93,genus,28890,407,0.034525996,0.9967101861936838,0.8704946144668008,0.9293315894442347,CLARK
94,order,28890,407,0.034525996,0.9997071891901707,0.8708327080463867,0.9308254434720603,CLARK
95,phylum,28890,407,0.034525996,0.9998277582762362,0.8708462725788969,0.9308854538280943,CLARK
96,species,28890,407,0.034525996,0.9591959762721423,0.8661078103726231,0.9102732174662262,CLARK
97,kingdom,28890,407,0.034525996,0.9998277582762362,0.8708462725788969,0.9308854538280943,CLARK
98,class,28890,407,0.488043988,0.3961196410984669,0.007433252426056848,0.01459230930519145,CLARK
99,family,28890,407,0.488043988,0.0,0.0,0.0,CLARK
100,genus,28890,407,0.488043988,0.0,0.0,0.0,CLARK
101,order,28890,407,0.488043988,0.3961196410984669,0.007433252426056848,0.01459230930519145,CLARK
102,phylum,28890,407,0.488043988,0.6248989440186019,0.011676208025062881,0.022923720547295582,CLARK
103,species,28890,407,0.488043988,0.0,0.0,0.0,CLARK
104,kingdom,28890,407,0.488043988,0.7340339471783837,0.013687479270751684,0.026873484464185804,CLARK
105,class,976,834,0.0,0.9999846104955394,0.9746947468012638,0.9871727349220853,CLARK
106,family,976,834,0.0,0.9999846104955394,0.9746947468012638,0.9871727349220853,CLARK
107,genus,976,834,0.0,0.9999538317944053,0.9746939876133004,0.987157347629203,CLARK
108,order,976,834,0.0,0.9999846104955394,0.9746947468012638,0.9871727349220853,CLARK
109,phylum,976,834,0.0,0.9999999998461064,0.9746951263781638,0.9871804283932029,CLARK
110,species,976,834,0.0,0.999846106340436,0.9746913300966603,0.9871034884220393,CLARK
111,kingdom,976,834,0.0,0.9999999998461064,0.9746951263781638,0.9871804283932029,CLARK
112,class,28889,167,0.03156216,0.9999999998292145,0.8782906084152143,0.9351970652728665,CLARK
113,family,28889,167,0.03156216,0.9999146071081046,0.8782814795718278,0.9351545464627655,CLARK
114,genus,28889,167,0.03156216,0.9995559576794432,0.8782431234707997,0.9349759303736201,CLARK
115,order,28889,167,0.03156216,0.9999146071081046,0.8782814795718278,0.9351545464627655,CLARK
116,phylum,28889,167,0.03156216,0.9999999998292145,0.8782906084152143,0.9351970652728665,CLARK
117,species,28889,167,0.03156216,0.9976260821823602,0.8780363154043356,0.9340137760492633,CLARK
118,kingdom,28889,167,0.03156216,0.9999999998292145,0.8782906084152143,0.9351970652728665,CLARK
119,class,28889,167,0.020868978,0.999999999836897,0.9196604015600431,0.9581440655029205,CLARK
120,family,28889,167,0.020868978,0.9994128295086667,0.919616994954358,0.9578509119775702,CLARK
121,genus,28889,167,0.020868978,0.9970152173350597,0.9194392634439204,0.956652154279761,CLARK
122,order,28889,167,0.020868978,0.9994128295086667,0.919616994954358,0.9578509119775702,CLARK
123,phylum,28889,167,0.020868978,0.999999999836897,0.9196604015600431,0.9581440655029205,CLARK
124,species,28889,167,0.020868978,0.9969989070481644,0.9194380516945025,0.9566439900213286,CLARK
125,kingdom,28889,167,0.020868978,0.999999999836897,0.9196604015600431,0.9581440655029205,CLARK
126,class,28890,407,0.012389386,0.9999846459388938,0.9769447693011513,0.9883254506439638,CLARK
127,family,28890,407,0.012389386,0.9999846459388938,0.9769447693011513,0.9883254506439638,CLARK
128,genus,28890,407,0.012389386,0.9999692920313267,0.9769444234640449,0.9883177745586418,CLARK
129,order,28890,407,0.012389386,0.9999846459388938,0.9769447693011513,0.9883254506439638,CLARK
130,phylum,28890,407,0.012389386,0.9999846459388938,0.9769447693011513,0.9883254506439638,CLARK
131,species,28890,407,0.012389386,0.9998618146783568,0.9769420023137594,0.9882640386996431,CLARK
132,kingdom,28890,407,0.012389386,0.9999846459388938,0.9769447693011513,0.9883254506439638,CLARK
133,class,28890,407,0.195864722,0.9739089160960416,0.06169148247942493,0.11603182995562865,CLARK
134,family,28890,407,0.195864722,0.9739089160960416,0.06169148247942493,0.11603182995562865,CLARK
135,genus,28890,407,0.195864722,0.6304554064742519,0.040823849231162536,0.07668115120904224,CLARK
136,order,28890,407,0.195864722,0.9739089160960416,0.06169148247942493,0.11603182995562865,CLARK
137,phylum,28890,407,0.195864722,0.9796015157030326,0.06202970816568845,0.11667049027119412,CLARK
138,species,28890,407,0.195864722,0.0,0.0,0.0,CLARK
